hour,mean_aqi
0,98.1715672415418
1,96.52421827099938
2,94.36143951574766
3,92.96017992424242
4,92.10843259146776
5,91.81001612444275
6,92.88468468468469
7,94.98312076241051
8,96.6007381470616
9,95.58239053254438
10,93.00948901646345
11,89.85215781227745
12,86.6879825683293
13,84.05467639533782
14,81.43239650588683
15,79.59524373489981
16,78.79546849185745
17,79.2117436885901
18,83.21317920157252
19,90.66674461020436
20,95.99634197814567
21,97.7583356814126
22,98.93456976087366
23,99.08799283998304
