,aqi,pm25,pm10,humidity,temperature,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
aqi,1.0,0.9736719299291549,0.9448124351434206,-0.18717796504324372,-0.3746936468657794,-0.4741192060300991,-0.1232323077758338,-0.5154257821756483,-0.1138057405612811,0.5236982271516137,-0.346080277296138,-0.24732182793721272,0.09214754399675819,-0.30264970082963627
pm25,0.9736719299291549,1.0,0.9227645515090623,-0.19408601171290504,-0.369863682347595,-0.46764422806663214,-0.13909360621211447,-0.5226147571964763,-0.1190995850178834,0.5368926692429753,-0.36257436541472887,-0.2599086779148754,0.10551857016966111,-0.3050852963490582
pm10,0.9448124351434206,0.9227645515090623,1.0,-0.2242384989866518,-0.35131150069766964,-0.45741715615754003,-0.1465303857277346,-0.5208777508346232,-0.11822160485113622,0.5239865700720239,-0.36335941271672867,-0.24234650844486022,0.09828994645477525,-0.3053551946581854
humidity,-0.18717796504324372,-0.19408601171290504,-0.2242384989866518,1.0,-0.16970829073835578,-0.17129844495503752,0.805528230122576,0.5409058793535455,0.10320838794046246,-0.31077204845290746,0.37216134306327886,0.09109475826238973,-0.18061722530228064,-0.04521241648917805
temperature,-0.3746936468657794,-0.369863682347595,-0.35131150069766964,-0.16970829073835578,1.0,0.7675242860459504,-0.20975723146402395,0.4920401487515449,0.08159144453518699,-0.536114618352565,0.23193543551017606,0.2193771265804251,-0.04265832664359046,0.35602988374959066
temperature_2m,-0.4741192060300991,-0.46764422806663214,-0.45741715615754003,-0.17129844495503752,0.7675242860459504,1.0,-0.3551567312972637,0.5750448857016683,0.0384984315649923,-0.6077012816511747,0.25704574938125163,0.3241954330867733,-0.03446308242272965,0.5188826335953768
relative_humidity_2m,-0.1232323077758338,-0.13909360621211447,-0.1465303857277346,0.805528230122576,-0.20975723146402395,-0.3551567312972637,1.0,0.544431913761993,0.14083311013626063,-0.26935869685526687,0.3523337168404633,0.0018152669136784205,-0.2011706124032292,-0.22664910954266865
dew_point_2m,-0.5154257821756483,-0.5226147571964763,-0.5208777508346232,0.5409058793535455,0.4920401487515449,0.5750448857016683,0.544431913761993,1.0,0.14885968108054354,-0.7586286760702247,0.5293123608394339,0.2954347992947857,-0.2148608331782702,0.27463981699591944
precipitation,-0.1138057405612811,-0.1190995850178834,-0.11822160485113622,0.10320838794046246,0.08159144453518699,0.0384984315649923,0.14083311013626063,0.14885968108054354,1.0,-0.19067444534328196,0.21795056345597658,0.12366969503250819,-0.036063213606600975,0.19034300120828754
surface_pressure,0.5236982271516137,0.5368926692429753,0.5239865700720239,-0.31077204845290746,-0.536114618352565,-0.6077012816511747,-0.26935869685526687,-0.7586286760702247,-0.19067444534328196,1.0,-0.5330255207540396,-0.40825182478600563,0.11637380943004073,-0.4078110735873517
cloud_cover,-0.346080277296138,-0.36257436541472887,-0.36335941271672867,0.37216134306327886,0.23193543551017606,0.25704574938125163,0.3523337168404633,0.5293123608394339,0.21795056345597658,-0.5330255207540396,1.0,0.21830365357822296,-0.16583963454535414,0.22242804337529878
wind_speed_10m,-0.24732182793721272,-0.2599086779148754,-0.24234650844486022,0.09109475826238973,0.2193771265804251,0.3241954330867733,0.0018152669136784205,0.2954347992947857,0.12366969503250819,-0.40825182478600563,0.21830365357822296,1.0,-0.02605847303494456,0.8459558098649299
wind_direction_10m,0.09214754399675819,0.10551857016966111,0.09828994645477525,-0.18061722530228064,-0.04265832664359046,-0.03446308242272965,-0.2011706124032292,-0.2148608331782702,-0.036063213606600975,0.11637380943004073,-0.16583963454535414,-0.02605847303494456,1.0,0.012516760619288313
wind_gusts_10m,-0.30264970082963627,-0.3050852963490582,-0.3053551946581854,-0.04521241648917805,0.35602988374959066,0.5188826335953768,-0.22664910954266865,0.27463981699591944,0.19034300120828754,-0.4078110735873517,0.22242804337529878,0.8459558098649299,0.012516760619288313,1.0
